Rank,Title,Category,Summary,ITCH_Score,Severity_Score,TAM_Score,Competition_Score,Whitespace_Score,Frequency_Score
28,How can consumers verify water purification in delivery cans?,Food & Beverage,Households ordering 20-liter water cans from local suppliers cannot verify whether water is genuinely RO-purified or just filtered tap water. Suppliers claim RO purification but provide no proof. Testing water quality at home requires expensive TDS meters. Water-borne illnesses from impure delivered water are common. No tamper-proof purity verification seals or batch-level quality certificates exist for packaged drinking water delivery.,82.5,9,7,8,7.5,5
29,Why do patients lack tools to compare conflicting diagnoses confidently?,HealthTech,"Patients seeking second medical opinions for serious health conditions struggle to determine if conflicting diagnoses, contradictory treatment plans, or significantly different prescriptions from multiple doctors are due to legitimate medical complexity or potential misdiagnosis requiring further specialist consultation and diagnostic confirmation.",82.5,6,7,6,6.5,10
30,Why is it so hard to find power outlets for devices while traveling?,Travel,"Travelers whose mobile phones die during sightseeing, shopping, or commuting face severe inconvenience because finding public electrical outlets for emergency charging is impossible, and they need widespread powerbank-sharing networks with kiosk pickup/drop-off systems similar to bike-sharing services.",82.5,8,80,5,7,6
31,How do small teams struggle with manual payroll calculations?,SaaS,"Businesses employing fewer than 10 workers spend hours each month manually calculating employee salaries factoring in variable elements like paid leave, unpaid absences, overtime hours, and festival bonuses because payroll software is designed for larger organizations and doesn't offer one-click processing for tiny teams.",82.2,8,80,10,8,9
32,Why is scholarship information fragmented and inaccessible to low-income and rural students?,EdTech,"Deserving students from economically weaker sections or remote areas remain unaware of available government scholarships, private grants, and financial aid opportunities because information is scattered across disconnected platforms, application processes are complex, and they lack mentors who can guide them through documentation requirements.",82,7,9,7,8,7
33,Why don’t people understand the insurance policies they buy?,FinTech,"Policyholders make uninformed decisions because insurance documents are written in legal and technical language, obscuring exclusions and conditions that directly affect claim outcomes.",82,8,10,8,9,10
34,Why are mock tests and analytics inaccessible to low-income exam candidates?,EdTech,"NEET, JEE, and competitive exam aspirants from economically disadvantaged backgrounds cannot afford premium coaching classes that provide extensive question banks, doubt-clearing support, and mock test series, leaving them relying solely on outdated textbooks without access to quality practice problems and performance analytics.",81.5,6,9,7,8,9
35,Why does investing feel intimidating to ordinary people?,FinTech,"Retail investors avoid markets because investment platforms emphasize products and jargon instead of personal goals, making participation feel complex and risky. The investors have to self educate using online sources that leave them feeling under-confident and intimidated.",81.5,9,10,8,9,2
36,Why do emergency rooms lack systems to prioritize critical patients instantly?,HealthTech,"Hospital emergency departments operate on chaotic first-come-first-serve protocols where critical patients wait behind less urgent cases because facilities lack AI-powered triage systems that can instantly assess vital signs, symptom severity, and medical urgency to prioritize life-threatening conditions over minor ailments.",81.5,7,7,7,7,8
37,Why do payment apps have confusing cashback terms?,Payment Issues,"Users making payments see promotional offers like '10% cashback up to ₹100' but discover complex conditions in fine print - minimum transaction amounts, specific merchants only, first-time user restrictions, or bank-specific offers. Cashback promised at payment time often doesn't arrive. Terms like 'up to' mislead users into expecting more than they receive. No standardized, upfront clarity exists on exact cashback users will receive before confirming payment.",81.2,8,80,6,8,7
38,How do parents find trustworthy evening childcare for short hours?,Consumer Services,"Professional parents working late shifts or attending evening events face severe childcare gaps because they cannot easily locate verified, trustworthy caregivers available for short-duration evening sessions without committing to expensive monthly nanny services or imposing on already-exhausted grandparents.",81,9,6,8,7,10
39,Why do drivers circle markets for 20 minutes finding parking?,Consumer Services,"Shoppers and visitors driving to popular commercial areas and crowded markets waste significant time circling streets looking for available parking spots, creating traffic congestion and pollution, because there is no system allowing them to view real-time parking availability or reserve spaces in advance.",81,6,6,7,6.5,8
40,Why do quick-delivery apps send bruised fruits and vegetables?,E-commerce,"Customers ordering from ultra-fast delivery services prioritizing speed over quality routinely receive damaged fruits, bruised vegetables, and crushed packaged goods because warehouse pickers rush through selection and delivery partners prioritize completion times over careful product handling and temperature-controlled transportation.",81,8,9,5,7,10
41,How do people moving struggle to dispose old furniture?,Home Services,"Families relocating to new apartments or cities cannot easily sell, donate, or responsibly dispose of old sofas, beds, wardrobes, and appliances because second-hand furniture markets are unorganized, online platforms attract only lowball offers, and municipalities don't provide convenient bulk furniture recycling or pickup services.",80.5,8,10,8,9,8
42,Why can’t working professionals return online purchases outside of business hours?,E-commerce,"Employees working 9-to-6 jobs who need to return online purchases cannot coordinate delivery-partner pickup schedules that only operate during business hours when they are away from home, and they lack access to convenient 24/7 smart locker systems where they can drop off returns independently.",80,7,9,7,8,9
43,Why can’t rural residents receive doorstep deliveries despite ordering products online?,E-commerce,"Residents of small villages and remote rural areas cannot access the full benefits of online shopping because delivery partners refuse to service locations without proper addresses or road access, forcing villagers to travel 10-20 kilometers to district headquarters to collect packages from centralized hubs.",80,8,9,8,8.5,4
44,Why can’t heirs access bank accounts easily after a death?,FinTech,"Families face financial paralysis because succession processes remain paperwork-heavy and fragmented, making it difficult to securely transfer access to assets after a person’s death.",80,8,10,7,8.5,8
45,Why can't doctors access patient medical histories across hospitals?,HealthTech,"Doctors treating patients in emergencies or follow-up visits across different hospitals cannot access consolidated medical histories, previous prescriptions, drug allergy information, or ongoing medication regimens because health records remain fragmented across individual hospitals with no interoperable national health database system.",80,9,7,8,7.5,9
46,Why do rural patients waste time traveling for diagnostic tests?,HealthTech,"Patients in small towns and villages requiring basic blood tests, X-rays, or ultrasounds must travel 30-50 kilometers to reach diagnostic laboratories in larger cities, wasting entire days in transit and delaying treatment decisions because mobile diagnostic vans or local sample collection services are unavailable in rural areas.",79.5,6,7,7,7,9
47,How do users reconcile bank statement transactions monthly?,Payment Issues,"Individuals reviewing monthly bank statements cannot remember what each transaction was for after 15-30 days. UPI transactions show cryptic merchant IDs. Small payments of ₹50-200 are unidentifiable. Tagging or categorizing transactions post-facto is tedious. No automatic transaction description and categorization exists, making expense tracking and budget analysis nearly impossible without extensive manual work.",79.5,7,70,6,8,7
48,Why can't EV drivers see real-time charger availability?,Transportation,"Electric vehicle drivers waste time and battery charge navigating to public charging stations listed on apps only to discover they are non-functional, under maintenance, or occupied, and they need real-time verification systems that confirm charger availability, functionality status, and queuing times before departure.",79.5,7,70,5,7,6
49,"Why can’t manufacturers rely on guaranteed, accountable pickup logistics for outbound deliveries?",B2B Services,"Small-scale manufacturers frequently miss critical delivery deadlines and lose customer orders when local logistics providers and transport vendors fail to arrive for scheduled pick-ups, leaving products stranded at factories with no reliable alternative transportation networks to fall back on.",79,8,8,8,8,7
50,Why do fashion products look different in reality?,E-commerce,"Online fashion shoppers frequently receive garments that look dramatically different in person compared to professional product photographs, discovering mismatched colors, unexpected fabric quality, and poor fits because listings lack authentic user-generated video reviews showing items on real people with varied body types.",79,7,9,7,8,8
51,Why can’t citizens verify whether segregated waste is actually recycled?,Other,Citizens diligently segregating wet and dry waste have no visibility into whether municipal collectors actually maintain segregation or mix everything. This undermines individual efforts. No verification system shows waste actually reaches recycling facilities versus landfills.,79,9,90,7,9,8
52,Why do factory owners wait days for industrial repair technicians?,B2B Services,"When specialized machinery breaks down in small manufacturing units, owners face multi-day production halts because there is no on-demand network or marketplace connecting them with qualified industrial technicians who can diagnose and repair niche equipment quickly.",78.5,9,7,8,7.5,6
53,Why hasn’t tutoring shifted from answer-giving to skill-building learning?,EdTech,"Parents hiring private tutors to help with challenging math and science subjects discover their children remain weak in fundamentals because tutors simply solve homework problems on students' behalf rather than explaining underlying concepts, principles, and problem-solving approaches that build genuine understanding.",78.5,8,9,8,8.5,8
54,Why can't consumers track sugar content in packaged snacks?,Food & Beverage,"Health-conscious consumers trying to limit sugar intake cannot accurately track consumption from packaged Indian snacks, biscuits, and beverages. Nutrition labels use grams rather than teaspoons, making it difficult to understand actual sugar quantities. Hidden sugars in savory products surprise consumers. No app aggregates and simplifies sugar content data for commonly consumed Indian packaged foods based on barcode scanning.",78.5,7,7,8,7.5,7
55,Why are diagnostic services not designed for women’s privacy and mobility needs?,HealthTech,"Female patients, particularly married women in conservative areas, postpone essential diagnostic tests because medical facilities and transportation options lack adequate privacy, female-friendly infrastructure, or same-gender accompaniment services that would allow them to visit clinics independently without male family escorts.",78.5,10,10,8,9,9
56,Why don’t smart water systems detect underground leaks automatically?,Other,Municipal water authorities waste 40% of water supply through underground pipeline leaks that go undetected for months. Citizens face shortages while water is lost. No acoustic leak detection or citizen reporting systems exist for identifying underground water wastage.,78.5,8,80,7,7,7
57,How can online platforms enable price negotiation and bulk discounts?,E-commerce,"Online shoppers accustomed to traditional retail's bargaining culture feel they overpay on e-commerce platforms because there is no mechanism allowing them to negotiate prices, request bulk discounts for multiple purchases, or propose alternate pricing for slightly older inventory or products nearing expiration.",78,6,9,8,8.5,7
58,Why is reward visibility missing across UPI and wallet ecosystems?,Payment Issues,"Consumers using multiple payment apps (Paytm, PhonePe, Google Pay, Amazon Pay) cannot track total cashback earned, pending amounts, and expiring offers across platforms. Each app has different reward structures and expiry timelines. Users miss out on claiming earned cashback or using expiring rewards. No unified dashboard shows total earnings and pending actions across all payment apps.",77.2,9,90,6,9,7.5
59,How can buyers verify alcohol authenticity before purchase?,Food & Beverage,"Alcohol consumers fear purchasing counterfeit or adulterated liquor from retail shops, especially for premium brands. News reports of methanol poisoning and fake alcohol deaths create anxiety. Bottles lack tamper-evident seals or authentication mechanisms. Buyers in tier 2/3 cities particularly worry about product authenticity. No scan-based verification system allows customers to confirm genuine alcohol at point of purchase before opening bottles.",77,7,10,8,9,7
60,Why is finding specialist doctors in smaller cities hard?,HealthTech,"Patients in tier 2 and tier 3 cities needing consultations with neurologists, cardiologists, oncologists, or other super-specialists face appointment wait times of 3-4 weeks or must travel to metro cities because there are too few specialists serving large populations and no telemedicine platforms connecting them efficiently.",77,8,10,7,8.5,7
61,Why do regional logistics lack real-time tracking and reliable delivery ETAs?,Logistics,"Businesses shipping via local transport companies or smaller couriers have zero real-time tracking visibility. Customers call repeatedly for delivery updates. ETA predictions are unreliable. No unified tracking API exists for regional logistics providers, forcing businesses to manually coordinate delivery communications.",77,8,80,7,6,6.5
62,Why do small online orders arrive in oversized wasteful packaging?,E-commerce,"Environmentally conscious consumers ordering single items or small products online feel frustrated when deliveries arrive in oversized boxes filled with excessive bubble wrap, plastic padding, and unnecessary packaging materials, and they want sustainable ""right-sized"" or reusable eco-friendly bag delivery options instead.",76.5,5,9,7,8,10
63,Why do hidden shipping fees inflate affordable product prices?,E-commerce,"Budget-conscious shoppers attracted to affordably-priced products on e-commerce platforms experience frustration at checkout when previously hidden or unclear shipping fees, handling charges, and platform fees suddenly inflate the total cost by 30-50%, making the purchase no longer economically viable.",76.5,6,9,6,7.5,10
64,Why do resumes fail ATS filters despite candidates being qualified for roles?,EdTech,"Fresh graduates and career switchers applying to dozens of entry-level positions receive no response or interview callbacks because corporate ATS (Applicant Tracking Systems) automatically filter out resumes lacking specific keywords, employer brand names, or exact experience criteria, and candidates lack guidance on optimizing applications for AI screening.",76.5,8,9,9,9,7
65,Why hasn’t late-night women’s mobility been solved with tech-enabled safety systems?,Transportation,"Women working night shifts, traveling after social events, or returning home late avoid auto-rickshaws and cabs due to safety concerns and instead need dedicated women-only driver networks with verified female chauffeurs, panic buttons, live journey tracking, and emergency response systems for secure nighttime transportation.",76.5,7,70,5,8,6.5
66,How can regional menus be made more accessible for interstate travellers?,Travel,Travelers from different regions struggle to understand restaurant menus written exclusively in regional scripts and they need instant visual AI translation apps that can scan and convert menu images into their preferred language with food descriptions.,76.5,6,60,5,8,6.5
67,Why isn’t subscription pause logic built into auto-debit infrastructure?,Payment Issues,"Users traveling abroad, facing temporary financial constraints, or wanting to skip a month of gym/subscription services cannot pause auto-debit mandates temporarily. The only option is permanent cancellation followed by re-enrollment with new KYC and setup. This forces users to continue paying for unused services for 1-3 months. No temporary freeze option exists for UPI autopay, e-mandates, or standing instructions.",76.2,9,10,7,8.5,9
68,Why do freelancers ghost projects after partial payments without accountability systems?,B2B Services,"Businesses hiring ad-hoc freelancers through informal channels experience high churn rates when workers disappear mid-project after receiving partial payments, leaving companies with incomplete deliverables and no legal framework to recover damages or enforce completion.",76,8,7,8,7.5,7
69,Why can't businesses verify new suppliers before purchasing?,B2B Services,"Small businesses looking to source raw materials from unfamiliar suppliers face substantial risks of receiving substandard goods, inconsistent quality, or outright fraud because there is no centralized verification system or B2B trust rating infrastructure to validate vendor credentials and track performance before committing to purchases.",76,7,7,7,7,8
70,Why can’t citizens quickly find the right animal rescue help during emergencies?,Consumer Services,"Compassionate citizens encountering injured, sick, or trapped stray animals feel helpless because they don't know which NGO, veterinary service, or municipal department to contact for rescue assistance, and they need a unified emergency animal rescue app aggregating contact information for nearest rescue organizations based on GPS location.",76,8,6,7,6.5,10
71,"Why do branded drugs dominate prescriptions despite equivalent, cheaper generic alternatives?",HealthTech,"Doctors and patients continue prescribing expensive branded pharmaceuticals over affordable generic equivalents containing the same active ingredients and dosages because of lingering suspicions about generic quality, manufacturing standards, bioavailability, and effectiveness despite regulatory equivalence certifications.",76,8,10,7,8.5,8
72,"Why can’t citizens report potholes through verified, incentivized, real-time platforms?",Professional Services,"Vehicle owners facing repeated tire damage, suspension problems, and accident risks from dangerous potholes on daily commute routes feel helpless reporting through ineffective municipal systems, and they need gamified reward-based pothole reporting apps where citizens earn credits for documenting road hazards with photo verification.",76,8,80,8,6,7
73,Why isn't there a women-first travel app for solo travellers?,Travel,"Solo women travelers and backpackers exploring unfamiliar cities face safety concerns about getting lost, experiencing harassment, or encountering emergencies far from home, and they need verified local guardian networks of background-checked residents they can contact immediately if they feel threatened or require urgent assistance.",76,6,60,5,9,7
74,Why don’t parents get real-time visibility when school buses run late?,Transportation,"Parents experience extreme anxiety when their children's school buses run late without any communication explaining delays or confirming student safety, and they want GPS-tracked transportation with live interior cabin video feeds and automated arrival notifications to eliminate uncertainty about child whereabouts.",75.6,8,80,5,8,6.5
75,Why can't large families get wholesale grocery pricing online?,E-commerce,"Households with 6+ members or joint families that regularly purchase large quantities of groceries, cooking staples, and household essentials cannot obtain the same wholesale rates that restaurants and businesses receive because grocery apps only offer consumer retail pricing without volume-based discount tiers.",75.5,6,9,7,8,7
76,"Why don’t schools provide step-by-step, student-friendly kits for complex assignments?",EdTech,"Elementary and middle school students assigned elaborate science fair projects, working models, or craft assignments rely heavily on parental intervention because schools assign overly complex tasks without providing age-appropriate guidance, pre-assembled DIY kits, or step-by-step student-friendly instruction materials.",75.5,7,9,7,8,6
77,Why do businesses struggle finding reliable contract manufacturers for small batches?,B2B Services,"Startups and small brands needing 500-5,000 unit production runs cannot find contract manufacturers willing to accept small-batch orders. Most job-work units demand minimum orders of 10,000+ units or charge 40-50% premiums for small quantities. Quality consistency issues arise when manufacturers prioritize large clients. No B2B marketplace connects small brands with verified contract manufacturers offering flexible MOQs, transparent pricing, and quality guarantees for emerging businesses.",75.2,8,7,6,6.5,9
78,Why do courier companies lose or damage 5% of packages?,Logistics,E-commerce sellers and personal shippers face 3-5% package loss or damage rates during courier transit. Filing claims requires extensive documentation. Courier companies take 30-45 days for claim processing. Compensation is disputed or denied. Insurance options are expensive. No accountability mechanism ensures careful package handling.,75.2,7,70,7,7,7
79,Why do makeup artists ignore diverse skin tones?,Beauty & Personal Care,"Brides with diverse skin tones express frustration when makeup artists default to applying identical ""fair and lovely"" style makeup to all clients without customizing foundation shades, undertones, or techniques to enhance and celebrate each individual's natural complexion and ethnic beauty.",75,8,6,8,7,8
80,Why can't elderly people find at-home beautician services?,Beauty & Personal Care,"Senior citizens and people with mobility challenges face difficulty accessing basic beauty and grooming services like haircuts, manicures, or facials because very few beauty professionals offer home visit services, and those who do often charge prohibitively high premiums or have limited availability for residential appointments.",75,4,6,8,7,4
81,How do users manage multiple payment app wallets?,Payment Issues,"Users maintaining wallets in Paytm, PhonePe, Amazon Pay, and Mobikwik face fragmented balance management. Money sits idle across wallets. Transferring wallet balance to bank accounts incurs fees or isn't allowed. Checking balances across apps before payments is tedious. No wallet aggregator shows combined balance or allows inter-wallet transfers, forcing users to maintain ₹500-2,000 idle in each app.",75,5,50,6,8,7
82,Why can't tiffin subscribers customize daily meals?,Food & Beverage,"Professionals subscribing to tiffin services receive pre-decided daily menus with no customization options. Dietary preferences, allergies, or taste preferences aren't accommodated. Customers endure dishes they dislike 2-3 times weekly but cannot switch to alternatives within their subscription. Canceling entire subscriptions wastes money on remaining days. No tiffin service allows day-to-day menu selection while maintaining subscription economics.",74.5,7,10,7,8.5,6
83,Why do hospitals hide procedure pricing from patients?,HealthTech,"Patients admitted for routine procedures or surgeries receive massive bills with line items for consumables, doctor fees, and facility charges that bear no relation to market rates because hospitals don't disclose standardized procedure pricing upfront, leaving patients vulnerable to price gouging during medical emergencies.",74.5,9,10,8,9,8
84,Why do households lack emergency backup services when domestic help quits suddenly?,Consumer Services,"Households relying on full-time domestic workers for cooking, cleaning, and childcare face sudden crises when their help quits abruptly without serving proper notice periods, leaving working parents scrambling to manage household responsibilities with no emergency backup service providers available.",74.3,8,6,5,5.5,8
85,Why are CRM systems too complex for 3-person businesses?,SaaS,"Micro-businesses with tiny teams cannot adopt traditional customer relationship management software because these platforms are designed for large sales organizations with complex workflows, requiring extensive setup time, expensive subscriptions, and technical expertise that small teams lack, whereas they need simple WhatsApp-based contact management.",74,8,80,10,8,9
86,Why must students commit to expensive annual subscriptions before testing exam platforms?,EdTech,"Students wanting to try online learning platforms for exam preparation discover that most services require upfront annual subscription commitments with non-refundable payments, offering no flexibility for pay-per-topic access, course-switching, or trial periods that let students test teaching quality before major financial commitments.",73.5,8,9,8,8.5,5
87,Why do families lose track of wedding gift money?,FinTech,"Households lose financial records because traditional cash and envelope-based gifting lacks a digital system to track contributors, amounts, and reciprocity over time.",73.5,9,10,8,9,9
88,Why can’t hosts prepare restaurant-quality meals at home within 15 minutes?,Food & Beverage,"Hosts organizing spontaneous gatherings or last-minute parties struggle to prepare gourmet-quality food within tight timeframes. Shopping for ingredients, marinating proteins, and cooking elaborate dishes takes 3-4 hours minimum. Pre-packaged meal kits available in supermarkets are either unhealthy frozen foods or require extensive cooking time. No premium ready-to-cook gourmet kits exist that deliver restaurant-quality meals in under 15 minutes for home entertaining.",73.5,9,10,8,9,9
89,Why can't patients access digital copies of medical records?,HealthTech,"Healthcare consumers visiting multiple doctors and specialists must carry physical folders of paper reports, X-ray films, and prescription histories because most hospitals don't provide patients with digital copies of their own medical data, test results, and imaging studies in portable formats.",73.5,9,10,7,8.5,9
90,Why can't users redeem credit card reward points easily?,Payment Issues,"Credit card holders accumulate thousands of reward points but struggle to redeem them effectively. Redemption portals have limited inventory, inflated prices, or products worth 30-40% less than point value. Conversion to cash or statement credit has poor rates. Points expire without notification. Users cannot compare redemption value across categories or find optimal use of accumulated rewards.",73.2,9,10,6,8,6
91,Why are pest control treatments ineffective within months?,Home Services,"Households paying ₹3,000-8,000 for cockroach or termite treatment discover pests return within 3-6 months despite service warranties. Companies blame customers for cleanliness. Warranty claims require extensive proof. Re-treatment isn't provided. No performance-based pest control with guaranteed results exists.",73,7,70,8,8,8
92,Why do appliance repair shops not provide warranties?,Home Services,"Customers getting washing machines, refrigerators, or microwaves repaired at local shops receive no warranty on repair work or replacement parts. If the same issue recurs within days, customers must pay again. Unauthorized service centers use duplicate parts without guarantees. No accountability exists for repair quality.",72.8,6,60,8,8,8
93,Why don't consumers trust pre-ground masala powder quality?,Food & Beverage,"Home cooks suspicious of store-bought spice powders worry about adulteration, stale grinding, or artificial colors and preservatives added by manufacturers. Grinding spices at home ensures freshness but requires buying whole spices, owning a grinder, and spending time daily. No service offers custom whole-spice-to-fresh-ground delivery where consumers select spices and receive freshly ground powders within hours.",72.5,7,7,7,7,9
94,Why do apartment maintenance payments lack itemized breakdowns?,Payment Issues,"Residents paying monthly society maintenance fees (₹3,000-10,000) receive no itemized breakdown of where money is spent. Lump sum amounts are collected without transparency on staff salaries, repair costs, utilities, or reserve fund allocation. Digital payment receipts just show 'maintenance' without expense categories. Residents cannot verify if charges are justified or question specific expense increases without detailed financial reporting.",72.2,9,90,6,7,6.5
